"member_id","member_name","party","party_bloc","term","dwnom_1d"
"LBC8144B","김영선","국민의힘","conservative",21,0.633033990859985
"KFM1081G","장동혁","국민의힘","conservative",21,0.528230369091034
"NUB4941Z","김한규","더불어민주당","liberal",21,-0.268577396869659
"6RD62559","박정하","국민의힘","conservative",21,0.532222628593445
"DWK26447","이인선","국민의힘","conservative",21,0.521183907985687
"IUD9392R","이재명","더불어민주당","liberal",21,-0.157516568899155
"YTA7297R","최영희","국민의힘","conservative",21,0.42887407541275
"YOG1280B","안철수","국민의힘","conservative",21,0.459423214197159
"6FS10566","강성희","진보당","progressive",21,-0.628212153911591
"NCO99988","허숙정","더불어민주당","liberal",21,-0.340867102146149
"F0I5053J","우신구","국민의힘","conservative",21,0.491539031267166
"86R9476S","김문수","더불어민주당","liberal",22,-0.167747139930725
"8Q88373R","김병기","무소속","independent",22,-0.231208607554436
"XSP20229","김성환","더불어민주당","liberal",22,-0.240959867835045
"88O1334C","김성회","더불어민주당","liberal",22,-0.128415003418922
"ATB59635","김승원","더불어민주당","liberal",22,-0.162379369139671
"8O34202I","김영환","더불어민주당","liberal",22,-0.425735801458359
"DMP1439I","김재원","조국혁신당","rebuilding",22,-0.551149666309357
"8A05621B","김준형","조국혁신당","rebuilding",22,-0.626468896865845
"NUB4941Z","김한규","더불어민주당","liberal",22,-0.268577396869659
"RUZ25800","노종면","더불어민주당","liberal",22,-0.435348451137543
"D9I3309M","문대림","더불어민주당","liberal",22,-0.321574330329895
"7R156073","박범계","더불어민주당","liberal",22,-0.215562611818314
"5TQ6306B","박수현","더불어민주당","liberal",22,-0.312226831912994
"4019850M","박정","더불어민주당","liberal",22,-0.239200100302696
"8BF5855P","박지원","더불어민주당","liberal",22,-0.0340893492102623
"MDC3257K","백승아","더불어민주당","liberal",22,-0.144723936915398
"HSS7466Y","백혜련","더불어민주당","liberal",22,-0.208018809556961
"GJ56729D","복기왕","더불어민주당","liberal",22,-0.353722423315048
"6I88973D","부승찬","더불어민주당","liberal",22,-0.372519671916962
"TKJ4800F","서영교","더불어민주당","liberal",22,-0.177606776356697
"ZDR63255","소병훈","더불어민주당","liberal",22,-0.365446984767914
"JSA8739I","손명수","더불어민주당","liberal",22,-0.287590026855469
"RG972910","송재봉","더불어민주당","liberal",22,-0.269394397735596
"M7O7878U","신정훈","더불어민주당","liberal",22,-0.275918006896973
"YOG1280B","안철수","국민의힘","conservative",22,0.459423214197159
"XEF29171","안호영","더불어민주당","liberal",22,-0.123048938810825
"XBT9550Q","우원식","무소속","independent",22,-0.289964228868484
"M0A1658U","윤호중","더불어민주당","liberal",22,-0.0765890851616859
"I7R13867","이개호","더불어민주당","liberal",22,-0.147499099373817
"95J3282H","이광희","더불어민주당","liberal",22,-0.507692575454712
"W8W95421","이상식","더불어민주당","liberal",22,-0.1285360455513
"N2P9317N","이성윤","더불어민주당","liberal",22,-0.178168579936028
"JG77046J","이언주","더불어민주당","liberal",22,-0.166954457759857
"3LP22204","이재강","더불어민주당","liberal",22,-0.338852643966675
"RKS3658I","이재관","더불어민주당","liberal",22,-0.126484766602516
"QWL7778X","이준석","개혁신당","centrist",22,0.261923432350159
"2NV6751W","장철민","더불어민주당","liberal",22,-0.381877452135086
"9YO73104","전재수","더불어민주당","liberal",22,-0.201679885387421
"P8A4624C","전종덕","진보당","progressive",22,-0.800582945346832
"UHB5553T","정태호","더불어민주당","liberal",22,-0.116759575903416
"BCQ55105","한준호","더불어민주당","liberal",22,-0.3763767182827
"FU53642G","허영","더불어민주당","liberal",22,-0.290190279483795
"5MD4184K","홍기원","더불어민주당","liberal",22,-0.143804147839546
"0YT3774N","황운하","조국혁신당","rebuilding",22,-0.386096656322479
"T6A6557F","황정아","더불어민주당","liberal",22,-0.415372610092163
"8P37634C","강득구","더불어민주당","liberal",22,-0.19245707988739
"MNZ4401T","강선우","무소속","independent",22,-0.3528051674366
"Q129715Y","강유정","더불어민주당","liberal",22,-0.305903822183609
"5KV96424","강준현","더불어민주당","liberal",22,-0.097207561135292
"TRE2429O","강훈식","더불어민주당","liberal",22,-0.274559646844864
"WCD5518S","고민정","더불어민주당","liberal",22,-0.335792422294617
"FIE6569O","곽상언","더불어민주당","liberal",22,-0.412202447652817
"C7E79345","권칠승","더불어민주당","liberal",22,-0.157592609524727
"EFU76868","권향엽","더불어민주당","liberal",22,-0.3895163834095
"X1K3667J","김교흥","더불어민주당","liberal",22,-0.186884015798569
"3CC88975","김기표","더불어민주당","liberal",22,-0.126751706004143
"IUX1829H","김남근","더불어민주당","liberal",22,-0.358615338802338
"NXB3178C","김남희","더불어민주당","liberal",22,-0.222027510404587
"MIS62075","김동아","더불어민주당","liberal",22,-0.440413653850555
"MLH1404S","김민석","더불어민주당","liberal",22,-0.147705927491188
"GF286398","김병주","더불어민주당","liberal",22,-0.120455108582973
"7GW5372Y","김선민","조국혁신당","rebuilding",22,-0.505333542823792
"B7D7534L","김영배","더불어민주당","liberal",22,-0.221865937113762
"5765663F","김영진","더불어민주당","liberal",22,-0.0717975720763206
"7BM2933Y","김영호","더불어민주당","liberal",22,-0.283631205558777
"NB64509Z","김용만","더불어민주당","liberal",22,-0.247369512915611
"OFE45081","김용민","더불어민주당","liberal",22,-0.241374596953392
"3UI95829","김우영","더불어민주당","liberal",22,-0.262628078460693
"4L695580","김원이","더불어민주당","liberal",22,-0.43755829334259
"5N65159P","김윤","더불어민주당","liberal",22,-0.305668503046036
"JZY9937U","김윤덕","더불어민주당","liberal",22,-0.200862318277359
"57B28032","김재섭","국민의힘","conservative",22,0.46064481139183
"9LD2641Q","김정호","더불어민주당","liberal",22,-0.236995786428452
