"member_id","member_name","party","party_bloc","term","wnom_1d","wnom_2d"
"HSS7466Y","백혜련","더불어민주당","liberal",21,-0.348371714353561,-0.273312836885452
"0PK7354M","서동용","더불어민주당","liberal",21,-0.474070966243744,-0.174150452017784
"L7J93733","서범수","국민의힘","conservative",21,0.328596293926239,0.108409054577351
"FOK3459D","서삼석","더불어민주당","liberal",21,-0.3592309653759,-0.213438361883163
"TKJ4800F","서영교","더불어민주당","liberal",21,-0.346161693334579,-0.153580144047737
"WFU14784","서정숙","국민의힘","conservative",21,0.72462660074234,0.0788710787892342
"OW53107J","설훈","새로운미래","centrist",21,-0.436723917722702,-0.145093202590942
"17M85910","소병철","더불어민주당","liberal",21,-0.324050605297089,-0.222758665680885
"ZDR63255","소병훈","더불어민주당","liberal",21,-0.591589748859406,-0.0256428346037865
"RD42006Y","송갑석","더불어민주당","liberal",21,-0.383845329284668,-0.224564358592033
"SQ36001H","송기헌","더불어민주당","liberal",21,-0.327753156423569,-0.237881183624268
"CNW5754J","송석준","국민의힘","conservative",21,0.311600029468536,0.0741955935955048
"PAO22428","송영길","더불어민주당","liberal",21,-0.406954109668732,-0.411768674850464
"3249208I","송옥주","더불어민주당","liberal",21,-0.484293013811111,-0.217633277177811
"LM13674V","송재호","더불어민주당","liberal",21,-0.343689411878586,-0.159582987427711
"G1570880","신동근","더불어민주당","liberal",21,-0.425819456577301,-0.276758521795273
"SRP7336N","신원식","국민의힘","conservative",21,0.738423883914948,0.163503021001816
"M7O7878U","신정훈","더불어민주당","liberal",21,-0.447670429944992,-0.0605817921459675
"F5Y4026Q","신현영","더불어민주당","liberal",21,-0.366322994232178,-0.15512914955616
"SU53086M","심상정","정의당","progressive",21,-0.855279743671417,0.518166542053223
"ZA54991S","안민석","더불어민주당","liberal",21,-0.389721155166626,-0.144427418708801
"6MO8786S","안병길","국민의힘","conservative",21,0.757888972759247,0.0752878710627556
"XEF29171","안호영","더불어민주당","liberal",21,-0.37824073433876,-0.263969630002975
"9V18755A","양경숙","더불어민주당","liberal",21,-0.37516263127327,-0.191590219736099
"VG24001G","양금희","국민의힘","conservative",21,0.642831444740295,0.0488750003278255
"KUO3574J","양기대","더불어민주당","liberal",21,-0.317111015319824,-0.219561785459518
"7O71647Z","양이원영","더불어민주당","liberal",21,-0.600312411785126,0.0808665826916695
"PZA4062H","양정숙","개혁신당","centrist",21,-0.426832467317581,-0.0340092964470387
"WHV3448W","양향자","개혁신당","centrist",21,-0.320050448179245,-0.221737205982208
"8348421R","엄태영","국민의힘","conservative",21,0.497809737920761,0.121189199388027
"OIA3741M","오기형","더불어민주당","liberal",21,-0.429221391677856,-0.0295269805938005
"MY318392","오영환","새로운미래","centrist",21,-0.383504599332809,-0.0579580925405025
"GE71932C","용혜인","기본소득당","progressive",21,-0.830288171768188,0.375956773757935
"V0O5343U","우상호","더불어민주당","liberal",21,-0.36364933848381,-0.0547620058059692
"XBT9550Q","우원식","무소속","independent",21,-0.423818469047546,-0.00853719562292099
"RQQ3807K","위성곤","더불어민주당","liberal",21,-0.563127517700195,-0.0576384887099266
"9L57027L","유경준","국민의힘","conservative",21,0.733550727367401,-0.0697491317987442
"8FC9697X","유기홍","더불어민주당","liberal",21,-0.474814742803574,-0.105422921478748
"MU69217P","유상범","국민의힘","conservative",21,0.676798760890961,-0.0786911398172379
"MRK4871S","유의동","국민의힘","conservative",21,0.596705079078674,0.243308246135712
"0WL9321T","유정주","더불어민주당","liberal",21,-0.477806448936462,-0.117481626570225
"GP07421U","윤건영","더불어민주당","liberal",21,-0.471612602472305,-0.0374808683991432
"JMY9959W","윤관석","무소속","independent",21,-0.322386056184769,-0.204204082489014
"7JC3239L","윤두현","국민의힘","conservative",21,0.893974840641022,0.445806324481964
"MSY7784L","윤상현","국민의힘","conservative",21,0.23327848315239,0.201738983392715
"KFS1358P","윤영덕","더불어민주당","liberal",21,-0.443327456712723,-0.206918463110924
"XWX1513T","윤영찬","더불어민주당","liberal",21,-0.36421936750412,-0.22030870616436
"SE233396","윤재갑","더불어민주당","liberal",21,-0.478491365909576,-0.13465304672718
